Название,Описание,Цена
Сотовый телефон Apple iPhone 13 Pro 1TB золотой,"Сотовый телефон Apple iPhone 13 Pro 1TB золотойiOS 15, поддержка SIM-карт (nano SIM+eSIM), экран 6.1"", разрешение 2532x1170, тройная камера: сверхширокоугольная (12 МП), широкоугольная (12 МП), телефото (12 МП), процессор Apple A15 Bionic, память 1024 ГБ, без слота...",132090 сом-5%125420 сом
Сотовый телефон Apple iPhone 13 Pro 128GB серебристый,"Сотовый телефон Apple iPhone 13 Pro 128GB серебристыйiOS 15, поддержка SIM-карт (nano SIM+eSIM), экран 6.1"", разрешение 2532x1170, тройная камера: сверхширокоугольная (12 МП), широкоугольная (12 МП), телефото (12 МП), процессор Apple A15 Bionic, память 128 ГБ, без слота...",95060 сом-1%93770 сом
Сотовый телефон Xiaomi Poco F4 GT 5G 12/256GB черный,"Сотовый телефон Xiaomi Poco F4 GT 5G 12/256GB черныйAndroid 12; экран 6.6"" AMOLED; процессор Snapdragon 8; память 12/256 GB; основная камера 64 mpx (F/1.9); фронтальная камера 20 mpx; аккумулятор 4700 mAh; поддержка сетей 5G",42990 сом
Сотовый телефон Nokia 125 Dual Sim,"Сотовый телефон Nokia 125 Dual Simэкран: 2.4"", память: 4 МБ, аккумулятор: 1020 мА·ч, SIM-карты: 2 (обычная), вес: 91 г",4150 сом
Сотовый телефон Realme C21Y 4/64GB голубой,"Сотовый телефон Realme C21Y 4/64GB голубойэкран: 6.5"" (1600x720), встроенная память: 64 ГБ, оперативная память: 4 ГБ, 3 камеры: 13 МП, 2 МП, 2 МП, аккумулятор: 5000 мА·ч, SIM-карты: 2 (nano SIM), операционная система: Android 11,...",10210 сом
Сотовый телефон Xiaomi Poco F4 GT 5G 12/256GB серебристый,"Сотовый телефон Xiaomi Poco F4 GT 5G 12/256GB серебристыйAndroid 12; экран 6.6"" AMOLED; процессор Snapdragon 8; память 12/256 GB; основная камера 64 mpx (F/1.9); фронтальная камера 20 mpx; аккумулятор 4700 mAh; поддержка сетей 5G",42990 сом
Сотовый телефон Tecno Spark 8P 4/128GB голубой,"Сотовый телефон Tecno Spark 8P 4/128GB голубойОперационная система Android 11; экран 6.6"" IPS 2408х1080 ~60 Гц; процессор Mediatek Helio G70 x8 core; память 4/128 GB; основная камера 50 mpx (F/1.6); фронтальная камера 8 mpx (F/2.0); аккумулятор...",13850 сом
Сотовый телефон Xiaomi Poco X4 Pro 6/128GB желтый,"Сотовый телефон Xiaomi Poco X4 Pro 6/128GB желтыйОперационная система Android 11; экран 6.6"" AMOLED 2400х1080 ~120 Гц; процессор Snapdragon 695 x8 core; память 6/128 GB; основная камера 108 mpx (F/1.9); фронтальная камера 16 mpx (F/2.4); аккумулятор 5000...",22500 сом
Сотовый телефон Xiaomi Poco F4 GT 5G 12/256GB желтый,"Сотовый телефон Xiaomi Poco F4 GT 5G 12/256GB желтыйAndroid 12; экран 6.6"" AMOLED; процессор Snapdragon 8; память 12/256 GB; основная камера 64 mpx (F/1.9); фронтальная камера 20 mpx; аккумулятор 4700 mAh; поддержка сетей 5G",42990 сом
Сотовый телефон Tecno Spark 8P 4/128GB синий,"Сотовый телефон Tecno Spark 8P 4/128GB синийОперационная система Android 11; экран 6.6"" IPS 2408х1080 ~60 Гц; процессор Mediatek Helio G70 x8 core; память 4/128 GB; основная камера 50 mpx (F/1.6); фронтальная камера 8 mpx (F/2.0); аккумулятор...",13850 сом
